ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURACAO,ASSENTOS
1347,-46720651,-23650582,355030871000089,3550308005174,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Teatro Alfa-Real,Sala A,"R Bento Branco de Andrade Filho, 722",5693-4000,Santo Amaro,,11,4,,1200
1348,-46719680,-23644174,355030871000089,3550308005174,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,Teatro Paulo Autran,,"Av João Dias, 2.046",5645-0099,Santo Amaro,,11,4,,656
1349,-46712345,-23652977,355030871000063,3550308005174,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,SESC Santo Amaro,,"R Amador Bueno, 505",5525-1855,Santo Amaro,,11,4,,140
1350,-46697905,-23579306,355030854000029,3550308005104,55,MORUMBI,10,BUTANTA,Oeste,Oeste,Jockey Club de São  Paulo,,"Av Lineu de Paula Machado, 1.263",6846-8000,Jardim Everest,,11,4,,1500
1351,-46694932,-23569440,355030862000070,3550308005053,63,PINHEIROS,11,PINHEIROS,Oeste,Oeste,KVA - Centro Cultural Elenko,,"R Cardeal  Arcoverde, 2.958",3816-8000,Jardim Paulista,,11,4,,200
1352,-46697435,-23567549,355030862000139,3550308005053,63,PINHEIROS,11,PINHEIROS,Oeste,Oeste,SESC Pinheiros,Teatro,"R Paes Leme, 195",3095-9400,Pinheiros,05424-150,11,4,,1010
1353,-46697435,-23567549,355030862000139,3550308005053,63,PINHEIROS,11,PINHEIROS,Oeste,Oeste,SESC Pinheiros,Auditorio,"R Paes Leme, 195",3095-9400,Pinheiros,05424-150,11,4,,100
1354,-46716594,-23551852,355030802000041,3550308005106,02,ALTO DE PINHEIROS,11,PINHEIROS,Oeste,Oeste,Teatro Santa Cruz (Colegio),,"R Orobo, 277",3024-5199,Alto de Pinheiros,,11,4,,600
1355,-46686412,-23590550,355030835000035,3550308005050,34,ITAIM BIBI,11,PINHEIROS,Oeste,Oeste,Espaço Cultural Promon,,"Av Juscelino Kubitschek, 1.830",3704-2900,Itaim Bibi,,11,4,,318
1356,-46691992,-23578101,355030862000163,3550308005053,63,PINHEIROS,11,PINHEIROS,Oeste,Oeste,Clube A Hebraica,Teatro Arthur Rubinstein,"R Hungria, 1.000",3818-8888,Jardim Paulista,,11,4,,650
1357,-46692417,-23560748,355030862000019,3550308005052,63,PINHEIROS,11,PINHEIROS,Oeste,Oeste,Av Club,,"R Pedroso de Moraes, 1.036",3814-7383,Pinheiros,,11,4,,700
1358,-46691108,-23561822,355030862000019,3550308005052,63,PINHEIROS,11,PINHEIROS,Oeste,Oeste,Cultura Inglesa Pinheiros,,"R Deputado Lacerda Franco, 333",3814-0100,Pinheiros,,11,4,,195
1359,-46666916,-23565065,355030845000002,3550308005024,44,JARDIM PAULISTA,11,PINHEIROS,Oeste,Oeste,Teatro Procopio Ferreira,,"R Augusta, 2.823",3803-4475,Jardim Paulista,,11,4,,700
1360,-46668474,-23564048,355030845000011,3550308005025,44,JARDIM PAULISTA,11,PINHEIROS,Oeste,Oeste,Café Teatro Galley,,"R Haddock Lobo, 1.626",3068-8975,Jardim Paulista,,11,4,,600
1361,-46676784,-23557273,355030845000116,3550308005024,44,JARDIM PAULISTA,11,PINHEIROS,Oeste,Oeste,Teatro Ritmus,,"R Teodoro Sampaio, 727",3061-3464,Pinheiros,,11,4,,200
